MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
SE04,Available on market,50,637.28,2030,SE,ERAA 2025 pre-CfE
SI00,Available on market,366.5833333,659.85,2030,SI,ERAA 2025 pre-CfE
SK00,Available on market,386,779,2030,SK,ERAA 2025 pre-CfE
UK00,Available on market,24700.37,43639.78,2030,UK,ERAA 2025 pre-CfE
UKNI,Available on market,100,140,2030,UK,ERAA 2025 pre-CfE
AT00,Available on market,2680,5360,2033,AT,ERAA 2025 pre-CfE
AT00,Out of market - for PV/battery dispatch optimization,4389.993,8779.986,2033,AT,ERAA 2025 pre-CfE
BE00,Available on market,3162,9916,2033,BE,ERAA 2025 pre-CfE
BG00,Available on market,1228.4,2680,2033,BG,ERAA 2025 pre-CfE
CH00,Out of market - for PV/battery dispatch optimization,2719,1350,2033,CH,ERAA 2025 pre-CfE
CY00,Available on market,160,400,2033,CY,ERAA 2025 pre-CfE
CZ00,Available on market,1907.66,3815.32,2033,CZ,ERAA 2025 pre-CfE
DE00,Available on market,31466.77,65128.1,2033,DE,ERAA 2025 pre-CfE
DE00,Out of market - for PV/battery dispatch optimization,33324.8,76647.04,2033,DE,ERAA 2025 pre-CfE
DKE1,Available on market,282.64,565.28,2033,DK,ERAA 2025 pre-CfE
DKW1,Available on market,615.11,16590.21,2033,DK,ERAA 2025 pre-CfE
EE00,Available on market,1000,2000,2033,EE,ERAA 2025 pre-CfE
ES00,Available on market,13382.7,31443.4,2033,ES,ERAA 2025 pre-CfE
FI00,Available on market,4111.1,8222.2,2033,FI,ERAA 2025 pre-CfE
FR00,Available on market,470,940,2033,FR,ERAA 2025 pre-CfE
GR00,Available on market,4800,12239.25,2033,GR,ERAA 2025 pre-CfE
GR03,Available on market,110,284,2033,GR,ERAA 2025 pre-CfE
HR00,Available on market,66,66,2033,HR,ERAA 2025 pre-CfE
HU00,Available on market,538.4515667,1076.903133,2033,HU,ERAA 2025 pre-CfE
HU00,Out of market - for PV/battery dispatch optimization,179.1533333,501.6293333,2033,HU,ERAA 2025 pre-CfE
IE00,Available on market,539,1610,2033,IE,ERAA 2025 pre-CfE
ITCA,Available on market,766.4,5128.6,2033,IT,ERAA 2025 pre-CfE
ITCN,Available on market,659.5,1527.2,2033,IT,ERAA 2025 pre-CfE
ITCS,Available on market,2371.5,11845.21,2033,IT,ERAA 2025 pre-CfE
ITN1,Available on market,4836.35,12233.06468,2033,IT,ERAA 2025 pre-CfE
ITS1,Available on market,3382.4,24778.5,2033,IT,ERAA 2025 pre-CfE
ITSA,Available on market,2635.43,16210.3653,2033,IT,ERAA 2025 pre-CfE
ITSI,Available on market,2812.3,20066.7,2033,IT,ERAA 2025 pre-CfE
LT00,Available on market,1710,4885.7,2033,LT,ERAA 2025 pre-CfE
LT00,Out of market - primary purpose other operational activities,200,200,2033,LT,ERAA 2025 pre-CfE
LUG1,Out of market - for PV/battery dispatch optimization,32.5,32.5,2033,LU,ERAA 2025 pre-CfE
LV00,Available on market,220,440,2033,LV,ERAA 2025 pre-CfE
MK00,Available on market,80,320,2033,MK,ERAA 2025 pre-CfE
MT00,Available on market,40,84,2033,MT,ERAA 2025 pre-CfE
NL00,Available on market,16587.2,132078.6,2033,NL,ERAA 2025 pre-CfE
PL00,Available on market,6110,26992,2033,PL,ERAA 2025 pre-CfE
PT00,Available on market,2300,9200,2033,PT,ERAA 2025 pre-CfE
RO00,Available on market,1700,3400,2033,RO,ERAA 2025 pre-CfE
RS00,Available on market,622.49,1978.56,2033,RS,ERAA 2025 pre-CfE
SE01,Available on market,50,13.492,2033,SE,ERAA 2025 pre-CfE
SE02,Available on market,50,114.688,2033,SE,ERAA 2025 pre-CfE
SE03,Available on market,50,936.956,2033,SE,ERAA 2025 pre-CfE
SE04,Available on market,50,706.712,2033,SE,ERAA 2025 pre-CfE
SI00,Available on market,663.0833333,1193.55,2033,SI,ERAA 2025 pre-CfE
SK00,Available on market,664,1384,2033,SK,ERAA 2025 pre-CfE
UK00,Available on market,25511.02,45221.26,2033,UK,ERAA 2025 pre-CfE
UKNI,Available on market,100,140,2033,UK,ERAA 2025 pre-CfE
AT00,Available on market,3600,7200,2035,AT,ERAA 2025 pre-CfE
AT00,Out of market - for PV/battery dispatch optimization,4849.995,9699.99,2035,AT,ERAA 2025 pre-CfE
BE00,Available on market,3747,11955,2035,BE,ERAA 2025 pre-CfE
BG00,Available on market,1228.4,2680,2035,BG,ERAA 2025 pre-CfE
CH00,Out of market - for PV/battery dispatch optimization,2986,1490,2035,CH,ERAA 2025 pre-CfE
CY00,Available on market,160,400,2035,CY,ERAA 2025 pre-CfE
CZ00,Available on market,2031.03,4062.06,2035,CZ,ERAA 2025 pre-CfE
DE00,Available on market,39552.58,83695.88,2035,DE,ERAA 2025 pre-CfE
DE00,Out of market - for PV/battery dispatch optimization,36343.2,87223.68,2035,DE,ERAA 2025 pre-CfE
DKE1,Available on market,293.68,587.36,2035,DK,ERAA 2025 pre-CfE
DKW1,Available on market,625.31,16610.61,2035,DK,ERAA 2025 pre-CfE
EE00,Available on market,1500,3000,2035,EE,ERAA 2025 pre-CfE
ES00,Available on market,17187.3,39044.6,2035,ES,ERAA 2025 pre-CfE
FI00,Available on market,4711.1,11777.75,2035,FI,ERAA 2025 pre-CfE
FR00,Available on market,470,940,2035,FR,ERAA 2025 pre-CfE
GR00,Available on market,6015,15337.5,2035,GR,ERAA 2025 pre-CfE
GR03,Available on market,150,386,2035,GR,ERAA 2025 pre-CfE
HR00,Available on market,66,66,2035,HR,ERAA 2025 pre-CfE
HU00,Available on market,538.4515667,1076.903133,2035,HU,ERAA 2025 pre-CfE
HU00,Out of market - for PV/battery dispatch optimization,221.5774802,620.4169444,2035,HU,ERAA 2025 pre-CfE
IE00,Available on market,539,1610,2035,IE,ERAA 2025 pre-CfE
ITCA,Available on market,901.2,6170.8,2035,IT,ERAA 2025 pre-CfE
ITCN,Available on market,696.9,1627.4,2035,IT,ERAA 2025 pre-CfE
ITCS,Available on market,2652.3,13874.61,2035,IT,ERAA 2025 pre-CfE
ITN1,Available on market,5057.35,12825.26468,2035,IT,ERAA 2025 pre-CfE
ITS1,Available on market,3981.2,29532.7,2035,IT,ERAA 2025 pre-CfE
ITSA,Available on market,2821.63,17645.7653,2035,IT,ERAA 2025 pre-CfE
ITSI,Available on market,3293.3,23824.3,2035,IT,ERAA 2025 pre-CfE
LT00,Available on market,1810,5175.7,2035,LT,ERAA 2025 pre-CfE
LT00,Out of market - primary purpose other operational activities,200,200,2035,LT,ERAA 2025 pre-CfE
LUG1,Out of market - for PV/battery dispatch optimization,37.5,37.5,2035,LU,ERAA 2025 pre-CfE
LV00,Available on market,420,840,2035,LV,ERAA 2025 pre-CfE
MK00,Available on market,80,320,2035,MK,ERAA 2025 pre-CfE
MT00,Available on market,40,84,2035,MT,ERAA 2025 pre-CfE
NL00,Available on market,21744,209418,2035,NL,ERAA 2025 pre-CfE
